row,SID,ip,firstName,# Users,Trials per user,domain,experimentName,levelName,Numberline,currentLevelNo,totalTrials,currentMode,currentQuestion,Opportunity Count,Temp(Opp),answerByUser,answerDec,Hit Rate,hitType,currentTrialStartTime,currentTrialEndTime,currentAccuracy,avgAccuracy,curReactionTime,totalTime,itemsPlayed,timeLimit,avgTime,bestTime,currentStarCount,totalStarCount,score,fireType,sound,verInfo
1016842,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac11_0_5,0-5,22,4,sub,6/2,1,6/2user62080-5,(477.45 # 514.45),2.3027,0,Miss!!,Wed Sep 21 17:13:31 2011 UTC,Wed Sep 21 17:13:37 2011 UTC,86.05,90.21,6.543,979.518 Secs,88,60,4.6325,2.714,1,142,0,CLICK,ON,BSNL v2.1 UCLA
1016867,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole12_0_1000,0-1000,23,4,sub,580,1,580user62080-1000,(562.55 # 512.6),560.6596,1,Perfect Hit!!,Wed Sep 21 17:13:48 2011 UTC,Wed Sep 21 17:13:52 2011 UTC,98.07,98.07,3.371,993.711 Secs,89,60,3.371,3.371,1,144,0,CLICK,ON,BSNL v2.1 UCLA
1016885,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole12_0_1000,0-1000,23,4,sub,920,1,920user62080-1000,(865.15 # 509.85),917.5501,1,Perfect Hit!!,Wed Sep 21 17:13:56 2011 UTC,Wed Sep 21 17:13:59 2011 UTC,99.76,98.92,2.674,1001.215 Secs,90,60,3.0225,2.674,2,146,0,CLICK,ON,BSNL v2.1 UCLA
1016900,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole12_0_1000,0-1000,23,4,sub,110,1,110user62080-1000,(153.6 # 510.75),78.9164,1,Partial Hit!!,Wed Sep 21 17:14:04 2011 UTC,Wed Sep 21 17:14:07 2011 UTC,96.89,98.24,3.326,1009.367 Secs,91,60,3.123666667,2.674,2,148,0,CLICK,ON,BSNL v2.1 UCLA
1016912,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole12_0_1000,0-1000,23,4,sub,750,1,750user62080-1000,(713.4 # 517.25),738.5159,1,Perfect Hit!!,Wed Sep 21 17:14:12 2011 UTC,Wed Sep 21 17:14:15 2011 UTC,98.85,98.39,2.613,1016.82 Secs,92,60,2.996,2.613,3,151,0,CLICK,ON,BSNL v2.1 UCLA
1016938,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac12_0_5,0-5,24,4,sub,10/5,1,10/5user62080-5,(379.35 # 512.6),1.7256,0,Near Miss!!,Wed Sep 21 17:14:26 2011 UTC,Wed Sep 21 17:14:31 2011 UTC,94.51,94.51,5.035,1032.676 Secs,93,60,5.035,5.035,0,154,0,CLICK,ON,BSNL v2.1 UCLA
1016955,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac12_0_5,0-5,24,4,sub,6/3,1,6/3user62080-5,(434.85 # 525.55),2.0495,1,Perfect Hit!!,Wed Sep 21 17:14:35 2011 UTC,Wed Sep 21 17:14:39 2011 UTC,99.01,96.76,3.131,1040.639 Secs,94,60,4.083,3.131,1,155,0,CLICK,ON,BSNL v2.1 UCLA
1016972,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac12_0_5,0-5,24,4,sub,12/3,1,12/3user62080-5,(743 # 515.4),3.8693,1,Perfect Hit!!,Wed Sep 21 17:14:43 2011 UTC,Wed Sep 21 17:14:48 2011 UTC,97.39,96.97,4.182,1049.623 Secs,95,60,4.116,3.131,2,157,0,CLICK,ON,BSNL v2.1 UCLA
1016991,66,170.185.142.19 ,6208,0,120,fraction,Condition-2,uclafrac12_0_5,0-5,24,4,sub,2/2,1,2/2user62080-5,(232.25 # 510.75),0.8598,1,Perfect Hit!!,Wed Sep 21 17:14:52 2011 UTC,Wed Sep 21 17:14:57 2011 UTC,97.2,97.03,4.829,1059.27 Secs,96,60,4.29425,3.131,3,160,0,CLICK,ON,BSNL v2.1 UCLA
1017014,66,170.185.142.19 ,6208,0,120,whole,Condition-2,uclawhole13_12_37,12-37,25,4,sub,27,1,27user620812-37,(726.35 # 510.75),30.8457,0,Miss!!,Wed Sep 21 17:15:08 2011 UTC,Wed Sep 21 17:15:11 2011 UTC,84.62,84.62,2.586,1072.662 Secs,97,60,2.586,2.586,0,163,0,CLICK,ON,BSNL v2.1 UCLA
